Event No,Event,Gender,Age Group,Mode
123,200 mt. Free Style,Boys,III,Time Trial
124,200 mt. Free Style,Girls,III,Time Trial
125,200 mt. Free Style,Men,Senior,Time Trial
126,200 mt. Free Style,Women,Senior,Time Trial
127,50 mt. Butterfly Stroke,Girls,I,Time Trial
128,50 mt. Butterfly Stroke,Boys,I,Time Trial
129,50 mt. Butterfly Stroke,Girls,II,Time Trial
130,50 mt. Butterfly Stroke,Boys,II,Time Trial
131,50 mt. Butterfly Stroke,Girls,IV,Time Trial
132,50 mt. Butterfly Stroke,Boys,IV,Time Trial
133,50 mt. Butterfly Stroke,Women,Senior,Time Trial
134,50 mt. Butterfly Stroke,Men,Senior,Time Trial
